Title	Author First Name	Author Last Name	Author Website	Publisher	Publication Year	ISBN	Barcode	Acquisition Date	Acquisition Price
Alexander Hamilton	Ron	Chernow		Penguin Books	2005	01430-3-475-8	F054-3651-B6EA-4931	2006-11-24	$14.48
Shadowheart: Volume Four of Shadowmarch	Tad	Williams	https://www.tadwilliams.com/	DAW	2010	07-5-640640-4	795A-FF62-08C4-441C	2021-06-04	$15.68
A Connecticut Yankee in King Arthur's Court	Mark	Twain		Simon & Brown	2011	161-3-82047-X	D5DF-1308-0264-7B96	2015-07-29	$17.71
Princeps' Fury	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2008	0-4410163-8-3	41E3-5F31-9B19-0AC9	2017-03-04	$15.37
A Tale of Two Cities	Charles	Dickens		Signet Classics	1997	045-15265-6-2	B2DA-D755-E437-E8C4	2021-07-29	$5.08
Jumper	Steven	Gould	https://eatourbrains.com/steve	Tor Books	2014	07-65-37816-7	025A-1D95-B7C1-6DC7	2021-09-25	$6.97
Jumper	Steven	Gould	https://eatourbrains.com/steve	Tor Books	2014	07-65-37816-7	DFAD-3E20-80A9-BC51	2020-03-16	$11.17
The Mousetrap	Agatha	Christie	https://www.agathachristie.com/	Dell	1977	044015-8-60-5	3462-AD38-A6E8-5C88	1979-09-28	$5.80
The Salmon of Doubt	Douglas	Adams	https://www.douglasadams.com/	Random House	2003	0-3-4545935-0	886F-4798-705D-D885	2019-12-24	$6.53
The Sandman Vol. 9: The Kindly Ones	Neil	Gaiman	https://neilgaiman.com/	Vertigo	1996	156-389-205-7	3EE8-0E42-D31E-D2C1	2009-11-07	$9.64
The Sandman Vol. 9: The Kindly Ones	Neil	Gaiman	https://neilgaiman.com/	Vertigo	2000	807-854-834-4	0678-29B0-1B74-0E4B	2007-06-14	$6.21
Going Offline	Jeremy	Keith		A Book Apart	2018	19-3755-765-0	D79D-D15F-08EE-BF00	2020-02-17	$9.47
The Elements: A Visual Exploration of Every Known Atom in the Universe	Theodore	Gray		Black Dog & Leventhal Publishers	2009	1-57912-814-9	3F70-F6A3-1B5E-E076	2011-01-24	$16.53
Danny the Champion of the World	Roald	Dahl	https://www.roalddahl.com/	Puffin	1988	01-403-2873-4	4751-503E-DE41-7139	1998-11-11	$13.56
Goldenhand	Garth	Nix	https://garthnix.com/	HarperCollins	2016	0-0-6156158-4	44CB-1C36-BBE9-A31A	2018-05-21	$18.43
A Memory of Light	Robert	Jordan		Tor Books	2013	0-76-532595-0	8EED-A8F6-77D8-94FD	2014-02-18	$10.68
The Castle of Llyr	Lloyd	Alexander		Yearling	1969	04-4-041125-4	EA18-9D01-7F58-4497	1999-04-19	$16.05
Iraq 100: The First Anthology of Science Fiction to Have Emerged from Iraq	Hassan	Blasim		Tor Books	2017	12-501-6132-0	E49F-E704-7A1E-213C	2018-01-16	$11.38
Iraq 100: The First Anthology of Science Fiction to Have Emerged from Iraq	Hassan	Blasim		Tor Books	2017	12-501-6132-0	BACD-1A61-825D-F63E	2020-05-12	$12.75
Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking	Samin	Nosrat	http://ciaosamin.com/	Simon & Schuster	2017	147-6-75383-0	8C5D-B3E6-1FA9-9610	2021-12-05	$9.78
Foreigner	C. J.	Cherryh	https://cherryh.com/	DAW	2004	07-56402-51-4	DEB4-F56B-11F0-A203	2013-12-25	$13.26
Harry Potter and the Chamber of Secrets: The Illustrated Edition	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2016	0545-7913-2-4	FEAA-0925-5024-1B27	2016-09-05	$16.22
The Secret Garden	Frances Hodgson	Burnett		HarperCollins	1998	0-06440-188-X	E9B8-163A-88A5-8261	2019-08-21	$14.97
The Secret Garden	Frances Hodgson	Burnett		HarperCollins	1998	0-06440-188-X	3D6F-13A6-663C-2687	2001-03-14	$17.16
Mister Monday	Garth	Nix	https://garthnix.com/	Scholastic Press	2005	0-43-970369-7	FD29-A26E-B406-E91A	2011-04-30	$8.66
Planesrunner	Ian	McDonald		Pyr	2011	16-1614-541-2	D5E1-1D10-FD68-09EC	2012-09-08	$8.68
Royal Escape	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Landmark	2008	140-22-1076-0	4754-6085-47C6-C6A0	2020-08-26	$12.68
Fly by Night	Frances	Hardinge	http://www.franceshardinge.com/	HarperCollins	2008	00-6-087630-1	37F4-DFEE-9904-9621	2018-10-09	$11.09
Sophie's World: About the History of Philosophy	Jostein	Gaarder		Farrar, Straus and Giroux	2007	037-45-3071-8	A12F-AC5B-B01A-3E65	2020-01-20	$5.16
Lean Customer Development: Building Products Your Customers Will Buy	Cindy	Alvarez		O'Reilly Media	2017	14-9-202374-4	A371-CBCE-0FEC-6443	2021-03-27	$11.80
The Books of Earthsea: The Complete Illustrated Edition	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Saga Press	2018	148-146-558-9	98E8-1A0D-766F-F5A3	2021-08-14	$11.61
Olive Kitteridge	Elizabeth	Strout		Random House	2008	08-1-297183-3	ACFA-F996-8FFB-3BEE	2010-07-24	$10.50
Pegasus	Robin	McKinley	https://robinmckinley.com/	G.P. Putnam's Sons Books for Young Readers	2010	039-92-4677-0	6A01-8456-3B44-5EAB	2010-03-14	$19.51
Pegasus	Robin	McKinley	https://robinmckinley.com/	G.P. Putnam's Sons Books for Young Readers	2010	039-92-4677-0	9723-55B7-DE40-AB3E	2022-02-11	$14.47
Pegasus	Robin	McKinley	https://robinmckinley.com/	G.P. Putnam's Sons Books for Young Readers	2018	978-855-39-3306-X	027D-3482-0685-D548	2018-06-26	$10.34
Shaman's Crossing	Robin	Hobb	http://www.robinhobb.com/	Harper Voyager	2005	00-6-075762-0	31BF-13FC-E5C0-BFE0	2006-05-20	$18.25
Shaman's Crossing	Robin	Hobb	http://www.robinhobb.com/	Harper Voyager	2005	00-6-075762-0	FC35-5DDC-0127-671C	2013-08-20	$9.47
The Peter Rabbit Pop-up Book	Beatrix	Potter		Warner	1983	07-2-322950-3	E733-C8B9-86E6-D727	2016-07-27	$13.85
Portable Childhoods	Ellen	Klages		Tachyon Publications	2007	18-923-9145-7	A162-970C-EE43-5FCF	2008-10-20	$17.40
Legacy	Lois McMaster	Bujold	http://www.dendarii.com/	Harper Voyager	2007	0-06-113905-X	F471-BCE5-A769-3E9E	2013-10-23	$8.15
Legacy	Lois McMaster	Bujold	http://www.dendarii.com/	Harper Voyager	2007	0-06-113905-X	F5EF-06B0-3055-4B94	2010-02-26	$5.50
Legacy	Lois McMaster	Bujold	http://www.dendarii.com/	Harper Voyager	2010	978-12-00-69264-7	2376-E3FA-A7B0-1EF0	2016-02-29	$19.38
A Crown of Swords	Robert	Jordan		Tor Books	1997	0812-550-28-5	FD30-6EEA-8821-C70A	2001-07-10	$9.91
Seeing Further: The Story of Science, Discovery, and the Genius of the Royal Society	Bill	Bryson		William Morrow	2011	0061-999-77-6	73CD-915C-6CCF-4624	2013-09-12	$10.41
Faro's Daughter	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2008	978-14-0-221352-6	7BEF-FC2C-25A9-9B31	2013-03-03	$9.33
Faro's Daughter	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2008	978-14-0-221352-6	4EF3-FD6C-24B6-95C6	2020-12-27	$10.36
The Virgin in the Ice	Ellis	Peters		The Mysterious Press	1995	04464-042-8-4	A89D-2AC7-1CD9-65E2	2004-04-29	$12.68
The Virgin in the Ice	Ellis	Peters		The Mysterious Press	1995	04464-042-8-4	5E1E-8E9B-AD23-F2CA	2017-05-02	$19.66
The Spanish Bride	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Landmark	2008	1-40-221113-9	E780-4AE4-71D2-5F58	2015-07-02	$10.60
The Spanish Bride	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Landmark	2008	1-40-221113-9	96A7-FB46-DAFC-99A7	2011-07-29	$13.28
Just Enough Research	Erika	Hall		A Book Apart	2013	1-93755-710-3	4104-3897-43CB-8BCB	2021-02-23	$7.04
The Tombs of Atuan	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Simon Pulse	2001	06898-45-36-7	6E8F-E32B-AF1C-A3EB	2021-10-11	$9.49
The Tombs of Atuan	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Simon Pulse	2001	06898-45-36-7	5126-92F6-51F9-7B0D	2002-06-11	$7.01
The Tombs of Atuan	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Simon Pulse	2013	978-29-959-5399-X	7189-7AEF-A7C0-201D	2020-02-24	$10.84
The Tombs of Atuan	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Simon Pulse	2013	978-29-959-5399-X	393D-9EDF-506B-F45F	2019-11-04	$10.73
Mort	Terry	Pratchett	http://terrypratchettbooks.com/	HarperTorch	2001	006-102-068-0	B246-5ED9-D961-3513	2008-06-24	$6.30
Bossypants	Tina	Fey		Back Bay Books	2012	0-316-05687-1	301C-A3C4-B04D-1E99	2016-06-15	$16.74
Ysabel	Guy Gavriel	Kay	https://brightweavings.com/	Roc	2007	04-51-46129-0	6E7F-A928-5DCE-F36C	2012-02-07	$14.47
Ysabel	Guy Gavriel	Kay	https://brightweavings.com/	Roc	2007	04-51-46129-0	2386-73D1-E8E1-2524	2011-05-18	$12.13
Master of the House of Darts	Aliette	de Bodard		JABberwocky Literary Agency, Inc.	2017	16256-72-50-0	C5A9-D395-11AA-CCCB	2020-03-27	$15.62
Master of the House of Darts	Aliette	de Bodard		JABberwocky Literary Agency, Inc.	2017	16256-72-50-0	3B3F-21AD-3556-E9D9	2019-06-25	$15.78
Tehanu	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Spectra	1991	05-53288-73-3	7ADA-CA0A-7BE1-C93B	2015-04-08	$8.93
Tehanu	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Spectra	1991	05-53288-73-3	B52B-B005-E2B0-A849	1998-08-16	$5.89
Royal Assassin	Robin	Hobb	http://www.robinhobb.com/	Spectra	1997	05535-7-341-1	CAE2-DD20-EBF8-2AF2	1998-02-20	$7.09
Starsight	Brandon	Sanderson	https://www.brandonsanderson.com/	Delacorte Press	2019	03-995-5581-1	A48C-ACD9-3B56-AED9	2021-07-07	$16.26
Lathe of Heaven	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Eos	1997	03807-91-85-4	3ED9-4B17-C540-37AC	2010-09-11	$17.93
Lathe of Heaven	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Eos	1997	03807-91-85-4	44D6-781B-18B3-8899	2014-05-22	$15.60
The Horse and His Boy	C. S.	Lewis	https://www.cslewis.com/	Diamond	1998	0-261670-48-4	B35C-649D-A71A-71D2	2007-04-06	$13.09
Designing UX: Forms: Create Forms That Don't Drive Your Users Crazy	Jessica	Enders		SitePoint	2016	099-434-705-7	5C6A-03DA-5CC2-05FB	2018-07-21	$13.40
Implementing Value Pricing: A Radical Business Model for Professional Firms	Ronald J.	Baker		Wiley	2010	978-04-70584-61-3	7F96-40B6-6A2B-F6B6	2014-03-13	$12.90
Implementing Value Pricing: A Radical Business Model for Professional Firms	Ronald J.	Baker		Wiley	2010	978-04-70584-61-3	328F-0A49-C282-9AFB	2014-04-29	$19.45
The Computer Connection	Alfred	Bester		Berkley	1976	042503-98-3-8	CA4D-D13B-ECAF-6FE5	1985-03-11	$9.06
The Mysterious Affair at Styles	Agatha	Christie	https://www.agathachristie.com/	Bantam Books	1978	0-553119-15-X	979E-22D1-D2F3-DD0C	1999-04-01	$6.05
Gentlemen of the Road: A Tale of Adventure	Michael	Chabon	http://michaelchabon.com/	Del Rey	2007	0-34-550174-8	9089-2CED-4E01-5BC3	2016-09-10	$16.42
Gentlemen of the Road: A Tale of Adventure	Michael	Chabon	http://michaelchabon.com/	Del Rey	2007	0-34-550174-8	F205-9595-D1A8-C2A5	2019-02-06	$6.64
On Food And Cooking: The Science And Lore Of The Kitchen	Harold	McGee		Scribner	2004	0-684-80001-2	FC92-A255-B919-3ECA	2015-07-27	$17.48
The Blade Itself	Joe	Abercrombie	https://joeabercrombie.com/	Pyr	2007	15-9-102594-X	960D-F192-509C-380A	2010-07-05	$18.89
Penric's Fox	Lois McMaster	Bujold	http://www.dendarii.com/	Subterranean Press	2018	15960-686-3-9	8AC7-3808-9312-6250	2018-09-05	$5.56
But What If We're Wrong?: Thinking About the Present As If It Were the Past	Chuck	Klosterman		Penguin Press	2016	039-918-412-0	1073-D5BB-7DD4-A83F	2022-06-18	$17.27
A Conspiracy of Kings	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	2011	0-0618709-5-1	16B6-FE01-DE19-493C	2020-06-18	$15.93
Fortunately, the Milk	Neil	Gaiman	https://neilgaiman.com/	Harper	2015	978-0-0-6238064-7	BEBB-B1D4-2A97-EC2F	2021-06-22	$18.77
Fortunately, the Milk	Neil	Gaiman	https://neilgaiman.com/	Harper	2015	978-0-0-6238064-7	6356-8248-26C5-0FB0	2017-10-23	$17.99
Captain's Fury	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2007	0-44-101527-1	91E5-5BE4-9168-6622	2011-10-31	$19.57
Captain's Fury	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2007	0-44-101527-1	BFFA-39F4-C6E0-4014	2007-09-24	$15.01
Captain's Fury	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2007	0-44-101527-1	591D-18F5-CE6C-D2CD	2020-08-06	$13.73
Crucible of Gold	Naomi	Novik	http://naominovik.com/	Del Rey	2012	0-34-552286-9	06EF-05D0-FDDB-A2BE	2012-05-25	$10.40
Harry Potter and the Cursed Child - Parts One & Two	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2016	13-380-9913-2	3DC7-79C4-D8E1-ADB5	2019-08-06	$18.71
Harry Potter and the Cursed Child - Parts One & Two	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2016	13-380-9913-2	5F4E-E98C-6531-9719	2016-06-01	$18.56
Chanur's Venture	C. J.	Cherryh	https://cherryh.com/	DAW	1985	0-8867-7183-8	9D6E-B133-0EF5-D527	1991-04-24	$12.07
The First Two Lives of Lukas-Kasha	Lloyd	Alexander		Puffin	1998	0141300-5-7-4	8E26-0B72-D952-1158	2010-02-28	$9.46
The Nonesuch	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2009	1-40-221770-6	8AD7-7E68-5E11-C349	2020-01-23	$11.39
The Nonesuch	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2013	978-7-53-548762-9	F0BB-2798-991D-3989	2018-12-02	$19.34
The Hydrogen Sonata	Iain M.	Banks		Orbit	2013	0-3162-1236-9	B6D5-970D-C53B-F396	2022-06-27	$11.27
The Hydrogen Sonata	Iain M.	Banks		Orbit	2015	978-91-66-44762-1	8E08-E19B-A476-77A6	2017-05-14	$12.27
Caliban's War	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2012	978-0-3-1612906-0	D739-6670-D48B-D8E2	2019-08-10	$15.50
Caliban's War	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2015	978-76-9-875873-5	A55F-EA08-22BA-689C	2019-03-28	$12.08
Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration	Ed	Catmull		Random House	2014	0812-99-301-2	9352-6232-2228-D0B5	2015-05-10	$12.02
Radiance	Catherynne M.	Valente	https://www.catherynnemvalente.com/	Tor Books	2015	076-53-3529-8	B1C1-9E3B-B088-4B7F	2015-11-12	$10.98
Brandon Sanderson's White Sand Volume 3	Brandon	Sanderson	https://www.brandonsanderson.com/	Dynamite Entertainment	2019	152-4110-06-X	CCD4-3379-B3C2-9F70	2020-09-11	$6.48
Brandon Sanderson's White Sand Volume 3	Brandon	Sanderson	https://www.brandonsanderson.com/	Dynamite Entertainment	2019	152-4110-06-X	3343-328A-6E8E-F2AB	2022-09-04	$14.00
Brandon Sanderson's White Sand Volume 3	Brandon	Sanderson	https://www.brandonsanderson.com/	Dynamite Entertainment	2019	152-4110-06-X	EE51-B9E7-39A0-0D75	2020-03-14	$8.40
The Wonder That Was India	A.L.	Basham		Picador	2005	033-04390-9-X	182B-3632-FC39-1921	2006-01-17	$18.45
The Wonder That Was India	A.L.	Basham		Picador	2013	978-3-36-185229-0	3685-5DA5-A2DE-9AB7	2021-02-16	$15.17
The Dragonfly Pool	Eva	Ibbotson		Puffin	2009	01424-14-86-7	69EB-ECE3-47CA-498B	2015-11-22	$14.31
Test Driven Development: By Example	Kent	Beck		Addison Wesley	2002	032-11-4653-0	1437-ACBD-C0A6-1DF6	2004-04-28	$5.63
The Scrivener's Bones	Brandon	Sanderson	https://www.brandonsanderson.com/	Scholastic Press	2008	978-04-399-2553-2	9DFF-BC57-27F0-998B	2018-11-04	$15.76
The Scrivener's Bones	Brandon	Sanderson	https://www.brandonsanderson.com/	Scholastic Press	2008	978-04-399-2553-2	4D00-FFE6-A642-F950	2018-10-15	$9.71
The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire	William	Dalrymple	https://williamdalrymple.com/	Bloomsbury	2019	1635573-9-5-5	513D-0CCE-193E-5D28	2022-11-10	$17.98
Warrior of the Altaii	Robert	Jordan		Tor Books	2019	12-5-024765-9	2492-E87C-71B7-3EED	2020-08-22	$15.36
A History of Japan, 1615-1867	George	Sansom		Stanford University Press	1963	0804-705-27-5	C9BA-D426-F15F-1A45	1982-07-20	$13.17
Flatland: A Romance of Many Dimensions	Edwin A.	Abbott		Dover Publications	1992	048627-2-63-X	FDF6-8996-37E0-EFEB	2015-08-12	$9.18
Peak: Secrets from the New Science of Expertise	Anders	Ericsson		Mariner Books	2016	054-445-623-8	0778-9F8A-5407-DD68	2016-01-25	$19.79
Agatha Christie's Ten Little Indians	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1975	0-671-80151-1	AC31-0B84-8873-DA83	1995-02-01	$8.82
Agatha Christie's Ten Little Indians	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1975	0-671-80151-1	7679-104D-DE31-09CF	1985-03-06	$7.00
Devil's Cub	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2009	978-1-402-21953-5	A6EF-49AC-2ABD-2763	2013-01-28	$16.72
Devil's Cub	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2010	978-38-1-016314-4	7E07-4F44-1C93-4FC2	2017-10-26	$19.66
The Golem's Eye	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2004	078-68-1860-3	3F8E-8E79-E40D-1D93	2010-03-20	$12.87
The Railway Children	Edith	Nesbit		Penguin Books	1994	1-8-5471202-0	FC9B-BED9-143F-44D3	1998-07-10	$13.23
The Golden Compass	Philip	Pullman	http://philip-pullman.com/	Laurel Leaf	2003	0-440-23813-7	28F5-19A4-F6C4-8EBA	2014-06-17	$7.43
Buried Fire	Jonathan	Stroud	http://jonathanstroud.com/	Corgi	2003	05-5-254933-9	8DA1-FEB3-2F59-7F6E	2012-02-16	$18.55
Freakonomics	Steven D.	Levitt		HarperCollins	2006	006-12427-0-5	20D5-3225-43CD-AAE0	2013-08-09	$12.02
The Just Bento Cookbook 2: Make-Ahead, Easy, Healthy Lunches To Go	Makiko	Itoh		Kodansha USA	2018	1568-3657-9-9	6C83-2573-6DF2-F73A	2018-12-19	$19.59
The Just Bento Cookbook 2: Make-Ahead, Easy, Healthy Lunches To Go	Makiko	Itoh		Kodansha USA	2018	1568-3657-9-9	2FAF-A54E-BF69-08FB	2019-08-17	$14.41
The Unknown Ajax	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2011	14-022-3882-7	F328-C0A9-E151-BE0D	2019-05-24	$16.01
His Majesty's Dragon	Naomi	Novik	http://naominovik.com/	Del Rey	2006	0-3-4548128-3	0EBC-6B13-2839-05F7	2011-12-07	$13.41
Fantastic Beasts and Where to Find Them	J K	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2017	13-38216-79-1	EC5C-F4C8-D7BC-BAA3	2020-06-10	$15.16
The Dawn of the Roman Empire Books 31-40		Livy		OUP Oxford	2009	019-95556-8-0	F5A7-CDF0-46CA-5523	2015-08-21	$12.41
The Dawn of the Roman Empire Books 31-40		Livy		OUP Oxford	2010	978-99-405-8360-9	31C4-6A03-8941-55A0	2012-03-03	$18.52
The Illyrian Adventure	Lloyd	Alexander		Puffin	2000	0-14-130313-1	07FB-8AF0-73DB-7BF7	2017-08-22	$7.08
Grim Tuesday	Garth	Nix	https://garthnix.com/	Scholastic Press	2005	0439-70-370-0	9402-334D-BD5D-3E95	2021-12-24	$18.23
Grim Tuesday	Garth	Nix	https://garthnix.com/	Scholastic Press	2005	0439-70-370-0	C6DE-A208-D75D-7EE1	2008-12-01	$5.84
Grim Tuesday	Garth	Nix	https://garthnix.com/	Scholastic Press	2005	0439-70-370-0	E6A7-9F0A-A715-70BD	2019-12-30	$14.33
Catch-22	Joseph	Heller		Vintage	1994	00-9-953601-3	05F5-4BA3-6288-289F	2021-04-06	$5.25
The Magic Finger	Roald	Dahl	https://www.roalddahl.com/	Puffin	1993	014-03-6303-3	A223-FB94-2611-DDF3	2001-06-05	$11.49
Warbreaker	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2009	076-53203-0-4	3078-2161-FD98-71C1	2019-10-05	$6.16
The Witchwood Crown	Tad	Williams	https://www.tadwilliams.com/	DAW	2017	07564-1-060-6	0394-0324-197E-684C	2020-10-24	$9.23
The Knights of Crystallia	Brandon	Sanderson	https://www.brandonsanderson.com/	Starscape	2016	076-537-898-1	D01E-7D01-7160-D129	2018-06-28	$14.93
Build: An Unorthodox Guide to Making Things Worth Making	Tony	Fadell		Harper Business	2022	0-0-6304606-7	B822-3816-8EE7-797A	2022-03-14	$16.15
At Bertram's Hotel	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1974	0-67-177702-5	DADA-31BD-18DE-5ADD	2002-10-24	$16.03
Dragon Prince	Melanie	Rawn		Tor Books	1990	0-3303-1274-X	20C0-B773-B2BF-024E	2009-09-11	$12.16
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI	David	Grann		Vintage	2018	0307-7424-8-2	9E7E-B22C-77AC-9317	2019-04-09	$15.80
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI	David	Grann		Vintage	2018	0307-7424-8-2	E4B8-B235-5E3C-4F1E	2019-04-21	$5.45
The Dream Hunters	Neil	Gaiman	https://neilgaiman.com/	Vertigo	2000	1-5-6389629-X	348E-14BC-CA28-803E	2016-05-05	$13.11
Rise of the Evening Star	Brandon	Mull	http://brandonmull.com/	Shadow Mountain	2007	159-038-742-2	9B6B-6683-DF1C-CF9D	2011-01-25	$12.98
Figure It Out: Getting from Information to Understanding	Stephen P.	Anderson		Two Waves Books	2020	19338-209-6-9	017A-7573-8B4E-A922	2022-09-11	$5.89
The Invention of Hugo Cabret	Brian	Selznick		Scholastic Press	2007	0-4-3981378-6	7AE9-2A5B-405A-450D	2016-10-17	$15.21
Crypto: How the Code Rebels Beat the Government--Saving Privacy in the Digital Age	Steven	Levy	https://stevenlevy.com/	Viking Adult	2001	067-0-85950-8	0E0A-3017-F1B1-26DF	2015-12-23	$13.66
The Lost Kingdom of Bamarre	Gail Carson	Levine	https://gailcarsonlevine.com/	HarperCollins	2017	0062074-6-6-0	E914-F885-F16C-4313	2019-06-07	$6.31
Shadows for Silence in the Forests of Hell / Perfect State	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2015	193-85-7006-5	F5BA-02B9-5970-8D11	2019-02-17	$15.29
Towers of Midnight	Robert	Jordan		Tor Fantasy	2011	0765-36-487-5	26C8-3698-7459-DB8E	2018-02-04	$18.57
Towers of Midnight	Robert	Jordan		Tor Fantasy	2011	0765-36-487-5	23EA-2C55-E0C7-1DE4	2011-12-16	$17.58
A Wind in the Door	Madeleine	L'Engle		Laurel Leaf	1976	0-4-4098761-X	FD24-C404-D6E6-E285	1990-08-05	$7.52
The Whispering Skull	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2014	1423-1649-2-X	782C-81B4-7708-EB04	2019-06-19	$5.28
The Whispering Skull	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2014	1423-1649-2-X	6523-6038-7EE9-AA62	2015-07-28	$11.99
Handbook of Usability Testing: How to Plan, Design, and Conduct Effective Tests	Jeffrey	Rubin		Wiley	2008	047-018-548-1	7EFF-6A61-207A-3C92	2011-11-06	$18.87
Death Note, Vol. 3	Tsugumi	Ohba		VIZ Media LLC	2006	14-215017-0-8	3361-FC9A-35E2-7BB6	2014-10-09	$9.67
Fablehaven	Brandon	Mull	http://brandonmull.com/	Aladdin	2007	1-4169-4720-5	0A6B-D3B9-F217-9410	2022-11-11	$17.98
Rapid Contextual Design: A How-to Guide to Key Techniques for User-Centered Design	Karen	Holtzblatt		Morgan Kaufmann	2004	978-0-1-2354051-5	BB98-490A-7992-6119	2005-04-25	$16.90
Rapid Contextual Design: A How-to Guide to Key Techniques for User-Centered Design	Karen	Holtzblatt		Morgan Kaufmann	2006	8128540-0-0-8	586C-5936-7E74-437A	2019-05-30	$15.84
Miles in Love	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	2008	1416-5-5522-6	B666-8497-2A90-1D93	2021-12-11	$19.87
Feynman's Lost Lecture: The Motion of Planets Around the Sun	David	Goodstein		W. W. Norton & Company	2000	0-393-31995-4	47D9-AE50-412E-A6C6	2014-04-21	$12.44
The Eye of the World: The Graphic Novel, Volume One	Robert	Jordan		Tor Books	2013	07-6533-541-7	5720-ED30-42C3-2C25	2018-04-08	$17.76
Going Solo	Roald	Dahl	https://www.roalddahl.com/	Puffin	1999	01-413-0310-7	640B-0E67-24AB-4D84	2020-05-18	$11.68
Steelheart	Brandon	Sanderson	https://www.brandonsanderson.com/	Delacorte Press	2013	038-57-4356-4	EA9D-AD3E-CF60-5125	2018-11-26	$15.27
Surveys That Work: A Practical Guide for Designing and Running Better Surveys	Caroline	Jarrett		Rosenfeld Media	2021	193382-0-53-5	3B8F-1AC3-2811-A5C8	2021-11-25	$7.66
Five Children and It	Edith	Nesbit		Wordsworth Editions Ltd	1999	0140-62-193-8	595E-1A77-BEC1-D3A9	2006-03-19	$9.49
John Adams	David	McCullough		Simon & Schuster	2001	068-4-81363-7	F277-3945-9549-0702	2005-12-06	$17.37
Eric	Terry	Pratchett	http://terrypratchettbooks.com/	HarperTorch	2002	0380-8-2121-4	A352-9F15-1D63-DD6D	2004-04-13	$9.40
Malgudi Days	R. K.	Narayan		Indian Thought Publications	2000	81859-861-7-7	A9B8-A78E-6B08-B426	2015-02-27	$5.76
The Eye of the World: The Graphic Novel, Volume Five	Robert	Jordan		Tor Books	2014	0-765-37425-0	CA3D-3883-9B3A-EA9E	2020-06-21	$13.44
Understanding Your Users: A Practical Guide to User Research Methods	Kathy	Baxter		Morgan Kaufmann	2015	0128-0-0232-8	3217-63C1-98D6-7D86	2017-06-25	$16.36
Understanding Your Users: A Practical Guide to User Research Methods	Kathy	Baxter		Morgan Kaufmann	2015	0128-0-0232-8	B8AC-B40A-2F0B-87B3	2021-08-17	$19.94
Understanding Your Users: A Practical Guide to User Research Methods	Kathy	Baxter		Morgan Kaufmann	2015	0128-0-0232-8	C383-13D8-E26F-D36B	2017-10-30	$16.02
Regency Buck	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2008	140-2213-49-2	1DE4-B027-C5A9-6395	2010-07-13	$7.11
The Hobbit	J. R. R.	Tolkien	https://www.tolkienestate.com/	Ballantine Books	1986	03-45339-68-1	72FA-91FC-A82D-54FA	1990-10-25	$11.52
